Date,PracticeCode,HB,HSCP,Sex,AllAges,Ages0to4,Ages5to14,Ages15to24,Ages25to44,Ages45to64,Ages65to74,Ages75to84,Ages85plus,Sex_Type,Total_Female,Total_Male
20220401,11128,S08000030,S37000007,Male,4603,213,533,555,1316,1255,421,236,74,,,
20220401,11128,S08000030,S37000007,Female,4801,213,525,517,1336,1268,477,334,131,,,
20220401,11128,S08000030,S37000007,All,9404,426,1058,1072,2652,2523,898,570,205,1,4801,4603
20220401,11166,S08000030,S37000007,Male,4450,219,432,503,1343,1223,433,243,54,,,
20220401,11166,S08000030,S37000007,Female,4481,218,466,487,1262,1127,503,296,122,,,
20220401,11166,S08000030,S37000007,All,8931,437,898,990,2605,2350,936,539,176,1,4481,4450
20220401,11171,S08000030,S37000007,Male,5297,276,591,553,1610,1333,506,314,114,,,
20220401,11171,S08000030,S37000007,Female,5647,276,573,566,1602,1454,572,409,195,,,
20220401,11171,S08000030,S37000007,All,10944,552,1164,1119,3212,2787,1078,723,309,1,5647,5297
20220401,11289,S08000030,S37000007,Male,4440,194,439,548,1463,1121,408,203,64,,,
20220401,11289,S08000030,S37000007,Female,4323,212,396,547,1318,1052,430,258,110,,,
20220401,11289,S08000030,S37000007,All,8763,406,835,1095,2781,2173,838,461,174,1,4323,4440
20220401,11306,S08000030,S37000007,Male,4364,153,504,467,982,1261,515,372,110,,,
20220401,11306,S08000030,S37000007,Female,4867,154,464,452,962,1405,630,506,294,,,
20220401,11306,S08000030,S37000007,All,9231,307,968,919,1944,2666,1145,878,404,1,4867,4364
20220401,11363,S08000030,S37000007,Male,5641,184,399,1245,2159,1036,368,187,63,,,
20220401,11363,S08000030,S37000007,Female,6021,151,382,2012,1811,937,361,255,112,,,
20220401,11363,S08000030,S37000007,All,11662,335,781,3257,3970,1973,729,442,175,1,6021,5641
20220401,11382,S08000030,S37000007,Male,4809,227,558,601,1508,1232,405,221,57,,,
20220401,11382,S08000030,S37000007,Female,4673,194,522,571,1314,1224,444,288,116,,,
20220401,11382,S08000030,S37000007,All,9482,421,1080,1172,2822,2456,849,509,173,1,4673,4809
20220401,11414,S08000030,S37000007,Male,2440,85,202,520,781,555,200,67,30,,,
20220401,11414,S08000030,S37000007,Female,2773,75,170,814,860,516,193,98,47,,,
20220401,11414,S08000030,S37000007,All,5213,160,372,1334,1641,1071,393,165,77,1,2773,2440
20220401,11486,S08000030,S37000007,Male,3828,181,468,490,1174,963,360,148,44,,,
20220401,11486,S08000030,S37000007,Female,3861,194,428,461,1156,994,348,205,75,,,
20220401,11486,S08000030,S37000007,All,7689,375,896,951,2330,1957,708,353,119,1,3861,3828
