gp_number,q1_positive,q2_positive,q4_positive
62510,85.91,88.79,96.72
38210,82.75,84.63,96.39
25224,87.22,80.88,93.87
11823,64.36,96.23,88.37
40460,88.33,96.72,98.85
70639,91.89,99.07,96.33
84773,82.4,94.9,91.34
40351,93.44,100,97.19
62717,77.83,95.17,89.21
43063,75.71,92.51,80.97
52260,82.23,95.02,88.93
46023,76.93,93.27,94.74
43082,57.18,90.79,83.43
49074,78.03,84.27,87.52
84097,89.7,95.55,90.38
52039,80.01,93.65,90.12
61343,43.45,78.46,79.59
87343,60.9,91.3,86.98
40691,57.24,73.99,84.45
46240,88.68,98.79,91.99
85009,96.89,98.58,99.3
43100,59.86,92.75,84.67
61381,77.55,89.11,86.79
52128,55.77,85.97,75.08
60181,90.99,94.67,96.59
49178,76.59,81.53,86.36
62596,53.45,90.19,82.75
62897,26.45,52.27,56.05
43307,45.69,71.1,76.87
40281,94.52,96.47,100
43504,73.61,82.6,88.51
43468,91.6,99.36,92.37
86228,70.79,97.02,84.77
40188,84.77,79.09,90.39
63481,71.34,90.31,83.27
52359,59.88,82.21,86.59
46201,83.95,91.25,92.24
85071,70.39,89.42,85.84
21440,67.67,76.9,86.89
80787,49.74,86.34,74.18
49375,78.3,80.15,89.93
84006,68.77,97.94,72.26
40722,67.3,92.99,83.81
46151,68.44,87.74,90.03
63423,58.22,83.23,80.18
46396,66.79,77.09,80.19
40390,84.87,86.95,88.21
46447,58.47,78.27,73.56
43542,60.61,77.88,70.98
49712,66.37,61.75,79.57
52010,69.21,81.91,79.83
52241,75.06,90.59,88.6
84063,91.66,98.26,97.49
80289,65.73,92.33,93.99
52217,75.86,92,94.1
85155,78.09,94.4,91.73
63052,65.81,80.62,89.94
18413,80.45,94.59,90.93
61170,74.43,63.6,80.41
60162,42.93,59.87,61.62
84449,75.91,100,84.23
43557,53.17,71.55,83
60158,98.93,100,98.8
52147,47.02,40.66,68.46
40703,61.58,90.88,84.73
80561,54.99,79.45,82.36
43453,80.58,95.45,92.21
87409,57.63,95.01,82.67
84684,93.87,92.37,88.25
46165,45.66,78.26,71.24
80397,70.42,93.52,90.18
85090,72.21,83.92,85.8
70272,82.99,82.72,87.26
84716,88.92,93.18,94.27
40559,70.36,86.83,86.47
43218,73.26,93.37,92.91
46521,83.33,90.44,84.14
43129,78.02,77.31,92.98
49159,71.96,74.06,80.31
52109,72.27,78.28,84.41
63476,71.65,84.76,86.42
46428,76.01,88.81,81.41
52202,62.63,75.31,82.16
46235,42.21,76.19,75.71
52414,62.01,82.05,92.33
46381,79.17,85.22,84.65
21007,59.4,88.68,82.55
46606,76.45,85.77,88.54
86209,78.51,77.7,86.72
43191,87.88,92.27,91.54
49200,90.42,85.41,97.38
52400,69.18,91.43,88.75
84237,85.24,89.43,95.58
52185,92.32,96.86,97.91
87339,70.37,86.04,88.45
62702,86.33,90.71,90.29
46112,74,93.73,83.92
43538,82.76,94.74,95.02
43186,64.53,90.61,83.9
40421,72.65,93.02,83.01
86285,66.51,88.03,93.82
40455,78.14,91.42,90.75
87184,67.44,89.81,86.15
40277,90.57,96.6,97.7
46292,71.13,88.25,82.26
52255,78.23,92.55,87.99
49130,72.75,77.52,85.87
80611,82.81,88.72,88.57
20964,59.91,92.88,88.7
46095,70.87,93.76,88.78
80274,90.38,96.44,95.49
43275,52.52,77.55,73.03
40328,90.07,88.85,95.48
21011,78.29,81.47,97.11
49214,63.04,68.2,88.82
18216,89.52,96.91,92.45
52221,51.65,47.94,78.19
62120,64.1,94.82,75.72
40031,88.78,94.42,93.06
49553,78.62,76.24,93.3
70906,75.8,76.73,90.09
86196,79.53,87.33,95.84
60110,70.67,95.79,87.98
70408,83.13,78.78,92.59
40544,86.84,95.07,91.74
55728,78.17,91.77,91.61
62914,64.1,84.38,75.97
25898,85.66,87.28,92.2
55075,100,100,99.05
25243,70.04,82.02,91.41
80255,67.14,96.35,81.92
56011,77.42,82.03,86.7
16282,62.29,93.39,88.03
55535,87.79,96.06,95.41
70605,68.46,79.38,91.81
16564,81.54,93.42,93.45
84275,99.29,99.19,97.49
78024,67.31,86.83,85.89
76194,82.13,80.94,90.32
10286,76.11,96.9,81.68
77036,86.8,92.45,93.37
49445,80.61,88.28,87.69
18451,93.98,98.26,94.09
20409,58.9,89.49,80.68
25065,89,98.95,97.77
13091,80.6,95.29,88.2
80330,69.25,94.07,86.34
49093,47.85,51.75,72.36
16051,63.43,91.02,84.55
31901,46.81,86.5,83.23
30203,68.98,90.95,91.86
49619,65.71,85.03,77.58
11486,81.34,95.08,90.78
16507,27.29,59,81.34
55836,61.94,79.78,86.82
25169,67.89,85.45,82.26
11382,50.69,77.42,79.13
78062,74.12,78.16,80.88
43326,46.91,80.21,72.27
70164,70.22,80.64,83.81
31511,46.81,88.52,82.68
32750,41.47,67.52,80.86
62844,47.55,81,74.67
26015,28.95,61.97,73.85
25070,62.86,85.01,82.48
55381,81.97,77.63,92.58
80698,75.6,90.82,91.76
13335,95.46,100,96.75
62045,42.88,79.57,77.88
40008,75.11,97.15,91.94
31719,55.82,94.51,83.99
43011,77.13,95.76,90.6
18625,48.06,46.09,82.07
63512,68.47,74.05,76.07
80260,56.12,91.78,84.08
40192,82.44,98.32,86.81
85117,84.4,95.51,92.39
40436,61.44,89.67,81.92
30030,63.73,67.34,84.96
55944,96.24,96.08,98.74
31211,57.92,79.26,82.36
18310,85.15,90.07,87.16
71222,82.25,92.8,93.92
40629,74.73,91.6,86.68
62632,56.25,90.95,87.63
55610,80.1,79.3,90.57
60228,74.18,94.41,82.81
87517,67.97,80.84,79
55554,93.98,98.79,95.65
16244,91.78,97.56,98.27
87019,56.19,93.53,78.82
18235,95.7,100,96.85
33061,77.58,88.86,93.65
18589,96.22,98.69,97.85
46057,66.27,72.36,77.62
55220,83.38,91.84,93.23
86001,60.79,62.9,92.68
70516,53.01,81.08,77.2
25309,42.04,61.18,75.12
70412,87.61,97.03,92.83
55925,71.62,98.34,86.73
30307,65.89,89.14,83.35
13891,80.11,88.94,92.23
18409,80.4,100,93.89
49568,41.68,78.63,67.61
16475,100,100,100
18428,75.74,91.16,87.57
18560,69.25,93.67,86.42
10106,58.85,85.45,83.48
76029,75.28,90.52,95.15
31916,56.68,87.85,88.82
30218,65.85,74.11,77.12
63461,34.63,85.25,75.93
11363,67.54,97.11,89.66
38205,83.29,92.19,89.78
55287,86.77,96.31,95.01
71449,71.71,87.18,90.7
62219,58.52,65.82,87.79
11861,57.24,82.26,79.87
39034,98.63,100,96.63
30059,75.32,82.78,87.42
20471,49.79,75.72,82.25
78255,43.18,67.74,75.52
21101,64.57,93.5,89.52
63264,53.21,78.64,87.98
85259,64.77,72.55,85.24
70291,64.22,86.73,81.23
32001,78.96,92.54,86.76
32514,62.18,92.28,85.88
76141,78.76,92.32,96.09
13369,75.14,90.8,87.01
20752,74.08,94.13,93.35
32021,55.14,86.49,87.37
38084,87.18,97.05,92.92
60054,33.16,70.3,68.45
16032,50.5,81.99,83.78
62050,31.67,73.93,63.43
84383,87.64,100,89.53
32904,36.06,57.96,66.69
16136,80.9,95.16,87.91
20803,64.74,94.12,90.48
43203,58.55,60.28,77.64
32035,67.92,81.89,88.37
61358,51.63,81.65,73.87
43171,79.36,79.99,87.08
20856,57.88,82.49,79.78
43237,70.79,93.31,84.12
40385,63.98,90.44,84.93
40101,69.31,88.9,94.27
80363,71.97,96.49,90.51
63283,51.85,65.59,75.92
85193,89.64,96.18,90.72
61305,77.99,90.23,91.55
25347,91.81,89.44,97.96
25351,77.8,81.3,89.77
61502,28.53,69.05,73.34
80753,56.2,84.42,84.38
30401,69.71,78.49,88.99
87490,69.04,93.11,91.15
20907,66.64,92.14,87.38
25099,77.39,83.96,91.08
13848,79.57,84.47,87.66
78128,58.86,80.74,81.89
62346,53.76,78.89,66.27
87714,71.66,94.35,94.19
55817,83.23,85.01,90.89
49770,76.08,79.91,93.05
40737,75.39,82.86,88.62
31009,91.24,97.01,92.82
55930,86.76,84.28,91.29
55639,76.58,92.52,85.63
55860,78.97,94.46,94.1
84810,78.76,93.56,88.24
25366,88.52,94.38,95.98
80541,88.65,95,94.15
63245,43.16,71.47,79.52
13532,84.63,89.1,86.06
63250,64.55,83.48,88.66
40332,85.61,94.56,92.6
62736,84.15,96.67,95.1
55569,82.76,92.01,89.71
70361,71.03,91.4,89.83
70220,64.93,77.83,85.34
55249,90.16,100,94.81
76071,88.53,96.42,95.01
63724,23.09,77.06,60.94
90204,70.92,84.62,89.19
18447,87.73,91.31,97.46
78109,47.11,84.56,71.32
80857,60.93,84.94,86.1
76161,89.67,93.89,94.95
32529,60.29,81.26,89.27
71114,79.74,93.38,95.31
70179,82.26,79.58,89.78
43261,58.8,85.86,79.29
39091,74.34,96.77,89.19
21153,67.34,78.78,80.78
70107,69.24,89.45,85.07
85066,72.93,90.01,92.85
39072,71.39,94.61,95.33
87165,52.41,59.1,81.98
70376,74.14,93.38,88.31
20502,54.29,84.7,83.49
63813,62.01,89.48,80.45
78113,58.57,81.41,75.39
71398,73.02,95.79,90.98
30627,81.21,87.46,95.36
32707,73.57,92.33,87.65
78166,83.43,87.09,93.79
63921,14.57,58.08,70.49
77286,40.47,71.13,81.11
85230,56.63,89.09,87.61
55747,92.88,91.26,93.48
18095,55.08,82.15,75.3
55643,86.85,98.56,95.21
55395,99.29,98.29,100
12831,72.47,90.05,84.6
46471,60.34,92.38,81.86
21469,50.41,91.27,75.16
84415,62.3,96.13,80.65
18057,58.88,87.04,75.8
18377,60.75,92.07,81.99
18593,58.09,86.56,83.38
18288,73.63,98.12,87.56
86360,55.65,80.29,82.48
18358,28.19,85.13,74.73
62933,48.01,66,83.6
84581,73,88.73,86.56
13284,74.2,89.97,90.24
87292,67.37,82.97,84.88
31437,46.32,77.2,81.65
63546,53.8,76.89,87.74
70381,80.12,76.64,95.42
46184,74.39,67.01,94.28
56030,78.37,89.02,92.55
63890,54.6,76.33,73.74
70766,85.92,92.26,83.67
21454,70.47,83.92,91.49
80378,61.1,89.48,87.25
11931,51.99,82.51,83.66
32779,57.56,76.43,80.48
43311,72.4,69.18,88.48
13975,79.64,78.39,81.11
63231,66.23,92.28,86.96
80491,77.99,91.14,94.28
46216,53.19,91.87,89.2
46625,63.15,83.17,79.22
70451,68.89,75.58,85.51
21384,53.61,85.74,77.64
49337,76.39,95.86,86.32
63917,57.13,78.6,80.95
25281,46.42,77.21,81.47
49248,66.84,93.58,90.37
16066,43.71,84.17,79.35
21505,52.02,70.85,67.78
52005,81.78,88.1,89.33
71364,76.7,92.06,86.14
11645,73.79,96.42,89.58
20485,57.54,76.28,87.59
85141,73.88,93.13,91.62
70427,76.44,97.65,92.43
31649,20.51,52.65,59.86
87432,65.28,69.15,88.24
13571,73,97.34,85.25
32764,65.1,95.92,85.2
63527,56.84,71.23,77.33
70790,67.83,89.13,91.46
62011,62.36,82.67,82.71
49681,79.66,86.72,93.37
86181,39.76,84.97,80.53
20108,54.04,92.78,79.79
10002,92.4,93.22,89.72
70662,61.45,84.15,85.36
84538,77.44,94.61,91.08
18112,69.78,96.8,85.13
55408,76.76,84.17,92.74
78344,86.47,87.76,89.12
71025,95.73,96.97,95.89
70501,67.66,85.27,91.28
55041,75.05,91.61,90.94
60073,63.21,69.11,81.22
87023,77.59,91.47,87.91
12281,70.8,86.08,94.11
20451,55.7,81.55,86.81
30280,47.47,80.16,78.06
20466,57.52,81.04,88.55
86321,44.87,87.86,81.64
62115,84.24,92.82,92.95
77106,59.32,93.57,86.42
21558,75.47,89.68,84.53
30078,45.6,87.98,64.96
77159,56.42,86.95,84.96
16047,89.28,99.02,97.58
46451,67.88,92.81,86.04
78077,73.48,86.06,82.83
20950,82.85,84.88,91.04
70198,59.67,79.35,83.09
49144,77.51,87.81,90.24
60143,44.69,61.43,80.86
76137,69.4,85.55,95.79
20611,70.6,83.5,93.19
90098,87.02,99.13,96.22
90115,94.68,98.34,97.1
40140,81.59,76.13,97.61
63442,41.43,86.59,80.63
85403,57.62,79.13,83.93
21613,61.28,80.42,82.86
46221,55.45,81.27,75.19
25027,57.8,80.84,79.01
25671,57.81,73.52,81.82
16141,58.27,74.71,80.56
40065,66.42,75.29,84.06
63828,46.14,84.58,79.97
30504,50.55,65.7,80.75
38239,94.4,97.48,95.25
25525,85.92,84.9,95.29
62609,47.55,84.13,79.54
76211,87.15,94.66,98.7
13496,93.67,94.32,97.14
60139,74.04,87.2,80.49
80768,69.63,92.16,87.69
11005,47.43,82.47,81.16
25582,76.19,83.83,83.52
21760,72.85,85.5,82.46
25506,86.25,79.13,92.44
71401,70.53,83.81,89.08
25460,55.21,76.01,85.98
60196,80.1,94.79,88.21
25402,83.08,91.23,90.45
20998,61.65,85.56,79.32
77125,80.62,85.37,95.89
40296,59.93,80.53,83.14
43114,72.94,97.37,92.47
77111,75.9,95.81,91.36
40084,79.34,81,86.48
14291,63.19,62.08,88.75
31244,58.99,87.62,83.07
31634,41.78,62.87,75.9
21830,68.44,75.45,87.6
21204,86.86,94,95.27
52429,70.83,86.6,93.92
25441,60.36,63.35,89.33
71011,76.99,92.97,88.7
84345,88.44,92.42,94.12
86336,75.18,73.32,92.01
80908,47.52,81.88,78.14
32411,82.18,88.06,91.72
55573,86.4,93.83,96.37
49041,68.87,67.38,85.48
76122,81.38,93.07,92.97
21755,70.05,89.56,89.67
11289,70.37,91.59,82.1
77074,72.05,89.29,85.42
87305,56.16,89.37,81.88
40154,79.65,81.32,89.74
49286,80.75,89.01,93.13
80096,74.44,91.56,86.66
71420,80.43,95.82,87.95
13195,85.08,85.8,95.37
87324,68.89,89.16,87.01
14249,62.96,80.04,90.13
40046,58.83,75.09,81.91
49676,77.73,89.4,94.98
43030,73.37,90.1,88.19
70569,58.2,79.61,82.48
33057,85.72,86.98,89.85
55841,65.61,71.11,87.19
80522,63.97,95.27,88.25
76033,21,64.87,72.5
55131,51.94,65.01,83.23
62991,67.38,89.41,74.36
77093,70.96,85.47,88.77
20663,58.83,89.52,88.24
16013,64.74,62.75,88.91
30951,67.26,76.85,81.87
11414,47.21,79.53,81.29
80556,62.52,93.69,86.31
31550,33.34,72.91,68.4
18574,93.11,100,95.88
84129,92.25,100,96.91
39087,92.17,97.93,96.68
40563,64.55,84.48,75.85
31206,70.31,92.66,86.06
55304,85.8,93.32,87.83
32622,94.52,95.19,97.43
16085,47.2,69.26,86.94
40210,69.27,77.99,80.38
49271,77.48,73.31,89.87
18254,100,99.44,96.95
49197,91.08,93.98,93.8
49801,37.84,67.32,66.58
70911,59.26,84.53,86.06
60124,86.92,97.99,92.6
78132,72.42,76.71,86.37
32209,72.98,89.98,86.07
38012,83.19,76.89,93.53
25474,84.13,93.63,87.55
70997,67.09,81.44,91.26
55677,94.9,92.45,100
18199,83.62,90.39,97.05
80005,44.75,75.28,79.63
90101,98.7,98.47,98.49
78171,82.64,85.54,91.39
56523,85.6,91.64,98.77
90134,83.71,91.16,90.07
18611,91.87,99.29,92.96
70126,84.1,94.55,90.25
55874,84.17,92.7,95.83
43059,63.97,85.16,93.83
71082,74.94,94.75,93.5
20983,66.98,93.78,79.29
70841,72.73,90.91,82.8
62223,67.07,83.8,89.53
10361,85.34,89.89,90.16
18273,82.11,99.23,86.57
16121,71.02,88.58,93.01
13481,62.15,80.6,79.18
70785,73.62,88.65,86.37
14569,60.31,85.9,92.42
80537,76.72,94.31,93.3
25597,63.7,84.43,80.85
60088,84.64,84.44,95.45
80701,56.82,87.34,82.23
80594,65.66,88.11,89.23
32425,56.63,94.48,86.2
16550,85.6,85.16,94.23
61644,61.05,85.95,86.28
31812,99.34,100,99.22
77271,46.73,84.26,82.2
87146,59.92,63.53,91.46
10445,70.2,94.84,84.51
55412,87.25,97.07,91
38027,98.12,100,99.42
70747,82.9,85.84,93.29
80720,68.17,95.14,86.27
55427,66.24,89.35,93.32
55431,76.38,90.95,90.19
80058,53.98,78.34,79.32
87485,49.06,73.27,72.82
80171,55.59,82.92,83.62
84740,98.31,97.28,96.61
11058,66.71,93.3,79.5
11128,63.93,87.34,87.53
84191,84.28,92.16,90.84
21609,48.35,76.4,85.74
80607,76.6,76.36,92.82
11650,77.45,93.41,88.66
16545,59.62,67.08,85.82
10233,72.53,94.82,84
63616,43.14,82.52,81.28
43133,71.75,65.79,94.22
87606,75.92,90.2,88.97
10017,85.35,89.53,93.89
40121,86.16,96.23,97.58
84646,75.03,88.35,88.96
46081,60.63,86.09,82.97
40493,65.24,63.47,75.88
13142,74.2,75.26,96.07
80109,75.62,79.06,86.53
87466,66.17,92.57,82.59
87502,58.25,78.69,87.78
60177,62.82,88.75,86.35
78311,48.93,91.35,85.75
52058,60.82,68.66,81.81
52062,86.91,89.76,91.08
16193,82.07,91.03,91.36
61240,60.11,95.26,87.24
43167,85.05,92.63,93.28
71097,56.92,76.3,86.95
80113,88.38,90.19,87.86
84307,70.92,95.95,87.01
20630,64.09,90.56,88.35
49604,59.2,56.54,86.64
40224,74.41,90.47,88.85
70094,88.39,95.04,92.7
52096,76.5,89.42,86.77
87541,85.84,95.26,90.93
71326,83.8,87.15,94.84
90031,78.44,96.1,94.44
76052,59.31,93.06,89.32
86271,78.75,79,92.27
70521,84.71,89.3,94.97
87521,76.91,95.45,91.62
49765,46.68,71.26,68.8
49411,66.08,90.92,89.6
85225,75.53,74.31,93.81
20184,75.94,88.73,93.22
20606,57.46,91.06,80.97
70234,83.2,90.19,92.59
87560,69.51,79.57,84.56
49638,91.25,87.99,93.15
87555,77.63,82.34,81.36
18396,64.33,92.68,88.76
60213,61.5,86.88,88.55
46305,44.69,74.72,86.73
63301,67.08,95.16,90.19
16160,59.61,86.43,88.81
87108,58.97,72.65,76.13
40582,65.24,89.94,86.42
76103,76.19,81.37,93.46
55145,89.88,96.04,93.71
52293,52.85,79.32,81.07
70930,78.84,86.12,90.4
10835,84.47,88.45,93.37
84350,78.33,87.84,92.73
25084,72.69,87.13,86.97
85047,63.89,84.07,83.95
86341,68.38,85.61,86.9
70588,74.51,94.51,88.41
60092,57.24,91.83,83.93
80062,79.84,96.41,88.6
80414,56.24,79.71,82.37
14037,67.48,89.6,86.68
40027,63.13,79.97,87.03
43044,72.37,78.51,88.49
16211,67.91,87.76,89.98
70982,71.29,57.51,89.45
80400,53.95,92.01,80.35
25031,39.44,77.92,69.28
46560,74.02,98.51,85.09
78306,66.3,84.2,89.45
61659,44.22,81.58,77.21
18339,70.55,95.44,89.62
55003,85.04,74.59,94.11
52024,86.62,95.33,90.27
25544,70.75,95.67,86.58
61131,57.71,70.96,79.7
84805,97.85,100,99.09
46343,82.74,95.31,86.98
55272,53.56,95.74,83.94
25991,84.09,82.53,91.95
55446,93.98,98.9,99.19
13621,78.28,95.41,93.05
80344,64.22,94.04,86.33
76226,32.88,88.95,73.76
25648,56.96,73.86,74.6
31723,36.57,87.6,82.37
55624,76.2,86.28,86.52
76000,90.15,92.53,96.1
55451,85.2,94.5,97.56
39161,95.72,97.56,96.52
18324,50.55,83.79,77.39
80518,56.3,69.34,83.62
20729,23.05,74.92,74.45
32801,61.14,72.65,86.5
13941,60.89,73.68,80.54
25737,37.91,63.15,76.83
63832,47.32,75.26,76.85
25390,68.31,76.77,92.22
25262,40.19,56.2,67.88
20254,46.03,75.53,72.4
60105,85.99,95.14,89.18
61447,70.65,96.51,87.51
16259,75.59,82.59,83.21
52151,78.32,84.89,93.98
63438,44.99,78.39,78.49
61625,32.44,71.62,70.61
78147,57.26,78.25,79.5
70319,88.82,94.01,96.84
16174,79.85,95.08,96.6
10322,76.47,93.31,86.34
30261,74.9,96.88,84.38
25883,52.85,84.67,90.8
70978,56.1,69.21,88.28
87729,73.44,89.85,93.49
11171,86.83,88.82,97.28
46339,64.54,87.97,83.86
39020,98.53,98.2,96.19
70253,57.67,79.24,84.61
78190,39.34,63.12,67.26
40417,61.88,88.05,82.35
76086,74.8,77.09,91.97
12901,75.06,83.3,85.77
49784,53.87,72.48,78.24
62666,49.8,80.22,76.69
43581,65.08,81.86,90.25
31141,63.53,84.39,79.27
39015,87.48,98.33,94.43
14342,75.02,88.41,91.37
52330,81.54,93.62,95.6
40525,66.06,93.44,82.4
