GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Ethnic group in Scotland [S] : Total\ Ethnic group (Scotland) - Unit : Persons,Ethnic group in Scotland [S] : White - Unit : Persons,Ethnic group in Scotland [S] : White\ Scottish - Unit : Persons,Ethnic group in Scotland [S] : White\ Other British - Unit : Persons,Ethnic group in Scotland [S] : White\ Irish - Unit : Persons,Ethnic group in Scotland [S] : White\ Gypsy/Traveller - Unit : Persons,Ethnic group in Scotland [S] : White\ Polish - Unit : Persons,Ethnic group in Scotland [S] : White\ Other White - Unit : Persons,Ethnic group in Scotland [S] : Mixed or multiple ethnic groups\ Any mixed or multiple ethnic groups - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Pakistani; Pakistani Scottish or Pakistani British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Indian; Indian Scottish or Indian British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Bangladeshi; Bangladeshi Scottish or Bangladeshi British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Chinese; Chinese Scottish or Chinese British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Other Asian - Unit : Persons,Ethnic group in Scotland [S] : African - Unit : Persons,Ethnic group in Scotland [S] : African\ African; African Scottish or African British - Unit : Persons,Ethnic group in Scotland [S] : African\ Other African - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Caribbean; Caribbean Scottish or Caribbean British - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Black; Black Scottish or Black British - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Other Caribbean or Black - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group\ Arab; Arab Scottish or Arab British - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group\ Other ethnic group - Unit : Persons
S01006506,Culter - 01,Lower Super Output Areas and Data Zones,LSOADZ,872,844,659,131,1,0,8,45,3,17,0,8,0,1,8,3,3,0,4,1,1,2,1,0,1
S01006507,Culter - 02,Lower Super Output Areas and Data Zones,LSOADZ,836,807,698,72,8,0,3,26,1,25,16,0,3,5,1,0,0,0,1,0,0,1,2,0,2
S01006508,Culter - 03,Lower Super Output Areas and Data Zones,LSOADZ,643,610,505,78,1,3,3,20,5,19,1,0,0,1,17,7,7,0,1,0,0,1,1,0,1
S01006509,Culter - 04,Lower Super Output Areas and Data Zones,LSOADZ,580,549,488,51,0,2,0,8,7,23,11,5,1,1,5,0,0,0,1,0,1,0,0,0,0
S01006510,Culter - 05,Lower Super Output Areas and Data Zones,LSOADZ,644,628,558,48,3,0,3,16,4,5,0,0,0,1,4,1,1,0,4,0,0,4,2,2,0
S01006511,Culter - 06,Lower Super Output Areas and Data Zones,LSOADZ,751,726,611,89,1,0,4,21,5,19,0,4,5,3,7,1,1,0,0,0,0,0,0,0,0
S01006512,Culter - 07,Lower Super Output Areas and Data Zones,LSOADZ,519,481,337,109,0,0,5,30,9,13,2,2,0,7,2,15,15,0,1,1,0,0,0,0,0
S01006513,"Cults; Bieldside and Milltimber West - 01",Lower Super Output Areas and Data Zones,LSOADZ,648,609,506,73,0,0,7,23,4,8,0,1,0,6,1,9,9,0,3,0,3,0,15,13,2
S01006514,"Cults; Bieldside and Milltimber West - 02",Lower Super Output Areas and Data Zones,LSOADZ,1043,979,679,146,12,0,8,134,9,38,0,15,1,3,19,9,9,0,1,0,0,1,7,6,1
S01006515,"Cults; Bieldside and Milltimber West - 03",Lower Super Output Areas and Data Zones,LSOADZ,762,714,532,125,14,2,2,39,4,23,4,11,6,2,0,10,10,0,4,3,0,1,7,0,7
S01006516,"Cults; Bieldside and Milltimber West - 04",Lower Super Output Areas and Data Zones,LSOADZ,540,502,326,92,9,0,0,75,7,19,4,8,0,3,4,3,3,0,1,1,0,0,8,7,1
S01006517,"Cults; Bieldside and Milltimber West - 05",Lower Super Output Areas and Data Zones,LSOADZ,1014,964,723,163,4,0,3,71,12,24,1,10,0,7,6,8,8,0,3,3,0,0,3,0,3
S01006518,"Cults; Bieldside and Milltimber East - 01",Lower Super Output Areas and Data Zones,LSOADZ,627,611,422,145,4,0,6,34,5,8,0,2,0,0,6,0,0,0,1,1,0,0,2,1,1
S01006519,"Cults; Bieldside and Milltimber East - 02",Lower Super Output Areas and Data Zones,LSOADZ,865,777,555,152,8,0,1,61,12,34,15,1,1,7,10,20,20,0,0,0,0,0,22,11,11
S01006520,"Cults; Bieldside and Milltimber East - 03",Lower Super Output Areas and Data Zones,LSOADZ,729,622,400,131,6,0,2,83,4,64,6,12,0,21,25,25,25,0,0,0,0,0,14,2,12
S01006521,"Cults; Bieldside and Milltimber East - 04",Lower Super Output Areas and Data Zones,LSOADZ,664,617,398,131,12,0,0,76,6,36,1,13,2,12,8,1,1,0,3,3,0,0,1,1,0
S01006522,"Cults; Bieldside and Milltimber East - 05",Lower Super Output Areas and Data Zones,LSOADZ,574,545,395,116,8,0,2,24,6,15,0,8,3,1,3,4,4,0,0,0,0,0,4,1,3
S01006523,"Cults; Bieldside and Milltimber East - 06",Lower Super Output Areas and Data Zones,LSOADZ,941,886,665,154,12,0,6,49,15,36,4,21,1,2,8,2,2,0,0,0,0,0,2,2,0
S01006524,"Cults; Bieldside and Milltimber East - 07",Lower Super Output Areas and Data Zones,LSOADZ,914,857,574,168,13,1,2,99,20,19,0,1,0,3,15,13,9,4,3,2,1,0,2,0,2
S01006525,"Cults; Bieldside and Milltimber East - 08",Lower Super Output Areas and Data Zones,LSOADZ,798,721,583,79,2,0,1,56,6,59,2,35,2,8,12,6,6,0,0,0,0,0,6,2,4
S01006526,Garthdee - 01,Lower Super Output Areas and Data Zones,LSOADZ,902,839,746,50,12,0,18,13,0,29,6,10,0,6,7,28,28,0,3,2,1,0,3,2,1
S01006527,Garthdee - 02,Lower Super Output Areas and Data Zones,LSOADZ,683,636,568,27,15,0,16,10,10,8,0,1,0,3,4,29,29,0,0,0,0,0,0,0,0
S01006528,Garthdee - 03,Lower Super Output Areas and Data Zones,LSOADZ,1034,868,721,55,21,0,41,30,6,74,7,19,0,26,22,67,64,3,6,4,0,2,13,12,1
S01006529,Garthdee - 04,Lower Super Output Areas and Data Zones,LSOADZ,896,748,636,51,16,0,8,37,0,58,1,22,6,20,9,76,76,0,1,0,0,1,13,11,2
S01006530,Garthdee - 05,Lower Super Output Areas and Data Zones,LSOADZ,755,683,643,27,5,0,0,8,4,34,3,10,0,12,9,27,27,0,0,0,0,0,7,7,0
S01006531,Garthdee - 06,Lower Super Output Areas and Data Zones,LSOADZ,959,897,749,46,16,1,50,35,7,40,5,7,1,14,13,12,12,0,2,1,1,0,1,1,0
S01006532,"Braeside; Mannofield; Broomhill and Seafield East - 01",Lower Super Output Areas and Data Zones,LSOADZ,744,695,597,56,12,1,4,25,4,35,9,4,0,12,10,7,7,0,3,2,0,1,0,0,0
S01006533,"Braeside; Mannofield; Broomhill and Seafield East - 02",Lower Super Output Areas and Data Zones,LSOADZ,712,697,564,69,3,0,4,57,3,6,0,2,0,1,3,0,0,0,2,2,0,0,4,1,3
S01006534,"Braeside; Mannofield; Broomhill and Seafield East - 03",Lower Super Output Areas and Data Zones,LSOADZ,910,873,693,114,8,3,1,54,2,25,1,4,3,8,9,5,5,0,2,2,0,0,3,2,1
S01006535,"Braeside; Mannofield; Broomhill and Seafield East - 04",Lower Super Output Areas and Data Zones,LSOADZ,1038,948,757,105,8,0,5,73,9,52,1,31,0,5,15,21,21,0,2,0,1,1,6,4,2
S01006536,"Braeside; Mannofield; Broomhill and Seafield East - 05",Lower Super Output Areas and Data Zones,LSOADZ,1015,940,723,107,8,1,33,68,10,43,8,18,0,8,9,17,17,0,4,2,2,0,1,0,1
S01006537,"Braeside; Mannofield; Broomhill and Seafield South - 01",Lower Super Output Areas and Data Zones,LSOADZ,754,730,640,59,6,0,4,21,5,10,0,3,0,2,5,4,3,1,1,0,1,0,4,4,0
S01006538,"Braeside; Mannofield; Broomhill and Seafield South - 02",Lower Super Output Areas and Data Zones,LSOADZ,569,541,472,50,4,1,3,11,1,16,0,11,0,3,2,10,9,1,1,0,1,0,0,0,0
S01006539,"Braeside; Mannofield; Broomhill and Seafield South - 03",Lower Super Output Areas and Data Zones,LSOADZ,747,727,619,72,7,3,2,24,1,4,1,2,0,0,1,11,11,0,0,0,0,0,4,4,0
S01006540,"Braeside; Mannofield; Broomhill and Seafield South - 04",Lower Super Output Areas and Data Zones,LSOADZ,960,881,755,78,15,0,7,26,9,51,10,25,0,9,7,15,15,0,3,2,1,0,1,1,0
S01006541,"Braeside; Mannofield; Broomhill and Seafield South - 05",Lower Super Output Areas and Data Zones,LSOADZ,801,781,685,57,3,1,12,23,7,12,1,7,0,0,4,0,0,0,1,1,0,0,0,0,0
S01006542,"Braeside; Mannofield; Broomhill and Seafield North - 01",Lower Super Output Areas and Data Zones,LSOADZ,1001,926,758,103,12,0,2,51,8,37,1,12,0,9,15,23,23,0,0,0,0,0,7,5,2
S01006543,"Braeside; Mannofield; Broomhill and Seafield North - 02",Lower Super Output Areas and Data Zones,LSOADZ,797,766,713,38,5,0,0,10,2,25,4,12,0,8,1,2,1,1,0,0,0,0,2,2,0
S01006544,"Braeside; Mannofield; Broomhill and Seafield North - 03",Lower Super Output Areas and Data Zones,LSOADZ,1071,935,701,132,13,0,5,84,12,88,10,23,7,32,16,14,14,0,2,2,0,0,20,8,12
S01006545,"Braeside; Mannofield; Broomhill and Seafield North - 04",Lower Super Output Areas and Data Zones,LSOADZ,1065,962,815,87,10,2,5,43,3,63,8,26,0,13,16,25,25,0,6,0,6,0,6,4,2
S01006546,"Braeside; Mannofield; Broomhill and Seafield North - 05",Lower Super Output Areas and Data Zones,LSOADZ,630,616,554,43,3,0,0,16,0,8,0,6,0,0,2,5,5,0,1,0,0,1,0,0,0
S01006547,Hazlehead - 01,Lower Super Output Areas and Data Zones,LSOADZ,907,852,741,63,8,0,12,28,8,27,0,5,4,9,9,12,12,0,7,2,5,0,1,1,0
S01006548,Hazlehead - 02,Lower Super Output Areas and Data Zones,LSOADZ,721,702,627,53,2,0,2,18,2,12,0,4,1,6,1,3,3,0,1,0,1,0,1,0,1
S01006549,Hazlehead - 03,Lower Super Output Areas and Data Zones,LSOADZ,811,771,649,66,5,0,1,50,11,18,4,1,0,2,11,8,8,0,2,1,0,1,1,1,0
S01006550,Hazlehead - 04,Lower Super Output Areas and Data Zones,LSOADZ,947,920,797,83,5,0,1,34,3,15,7,1,1,1,5,8,8,0,1,0,1,0,0,0,0
S01006551,Hazlehead - 05,Lower Super Output Areas and Data Zones,LSOADZ,690,654,569,32,8,0,19,26,5,22,2,14,2,2,2,7,7,0,2,0,2,0,0,0,0
S01006552,Hazlehead - 06,Lower Super Output Areas and Data Zones,LSOADZ,870,805,711,52,3,0,4,35,6,35,0,18,8,4,5,21,21,0,0,0,0,0,3,1,2
S01006553,Summerhill - 01,Lower Super Output Areas and Data Zones,LSOADZ,846,775,729,35,6,0,1,4,22,36,0,31,0,0,5,6,6,0,6,5,1,0,1,1,0
S01006554,Summerhill - 02,Lower Super Output Areas and Data Zones,LSOADZ,712,643,573,52,0,0,10,8,0,38,12,12,9,4,1,29,29,0,2,2,0,0,0,0,0
S01006555,Summerhill - 03,Lower Super Output Areas and Data Zones,LSOADZ,814,687,592,33,5,0,18,39,6,89,5,62,0,3,19,22,21,1,4,3,1,0,6,6,0
S01006556,Summerhill - 04,Lower Super Output Areas and Data Zones,LSOADZ,838,780,727,19,3,1,18,12,4,39,0,29,3,6,1,13,13,0,1,0,1,0,1,1,0
S01006557,Summerhill - 05,Lower Super Output Areas and Data Zones,LSOADZ,701,658,586,37,2,0,13,20,5,23,0,13,0,3,7,7,7,0,7,6,0,1,1,0,1
S01006558,Midstocket - 01,Lower Super Output Areas and Data Zones,LSOADZ,622,600,463,70,22,0,7,38,2,14,3,5,3,0,3,3,3,0,0,0,0,0,3,0,3
S01006559,Midstocket - 02,Lower Super Output Areas and Data Zones,LSOADZ,607,572,426,61,13,0,5,67,0,30,0,12,0,12,6,2,2,0,0,0,0,0,3,1,2
S01006560,Midstocket - 03,Lower Super Output Areas and Data Zones,LSOADZ,1033,946,782,113,10,0,8,33,13,31,0,21,1,1,8,23,23,0,4,4,0,0,16,14,2
S01006561,Midstocket - 04,Lower Super Output Areas and Data Zones,LSOADZ,766,704,596,68,3,1,2,34,11,30,4,14,0,3,9,4,4,0,7,6,1,0,10,10,0
S01006562,Midstocket - 05,Lower Super Output Areas and Data Zones,LSOADZ,718,664,593,51,3,0,0,17,5,24,0,14,0,6,4,16,16,0,4,4,0,0,5,5,0
S01006563,Midstocket - 06,Lower Super Output Areas and Data Zones,LSOADZ,826,692,559,83,2,0,5,43,3,106,20,42,11,6,27,9,9,0,9,4,5,0,7,6,1
S01006564,Rosemount - 01,Lower Super Output Areas and Data Zones,LSOADZ,983,846,668,60,14,5,40,59,8,103,20,26,20,25,12,11,11,0,3,2,1,0,12,8,4
S01006565,Rosemount - 02,Lower Super Output Areas and Data Zones,LSOADZ,988,847,584,83,43,1,51,85,5,84,5,32,3,26,18,34,34,0,0,0,0,0,18,14,4
S01006566,Rosemount - 03,Lower Super Output Areas and Data Zones,LSOADZ,757,680,500,91,17,1,9,62,9,55,8,15,0,8,24,8,8,0,1,0,1,0,4,0,4
S01006567,Rosemount - 04,Lower Super Output Areas and Data Zones,LSOADZ,835,740,555,81,22,2,33,47,7,55,0,12,1,27,15,22,22,0,1,0,0,1,10,9,1
S01006568,Rosemount - 05,Lower Super Output Areas and Data Zones,LSOADZ,923,801,573,84,13,0,29,102,10,82,6,31,4,15,26,18,18,0,3,0,0,3,9,2,7
S01006569,Rosemount - 06,Lower Super Output Areas and Data Zones,LSOADZ,566,494,344,57,13,0,7,73,4,37,8,12,5,4,8,18,17,1,2,1,1,0,11,9,2
S01006570,Rosemount - 07,Lower Super Output Areas and Data Zones,LSOADZ,791,681,519,89,6,0,10,57,11,68,5,36,0,5,22,29,29,0,1,0,0,1,1,1,0
S01006571,West End North - 01,Lower Super Output Areas and Data Zones,LSOADZ,888,835,614,144,11,0,1,65,5,30,2,11,0,11,6,11,11,0,6,2,4,0,1,1,0
S01006572,West End North - 02,Lower Super Output Areas and Data Zones,LSOADZ,905,859,651,113,5,5,2,83,2,26,4,11,0,3,8,12,12,0,3,0,3,0,3,0,3
S01006573,West End North - 03,Lower Super Output Areas and Data Zones,LSOADZ,724,690,492,115,4,2,9,68,8,13,4,1,0,3,5,9,9,0,2,0,2,0,2,2,0
S01006574,West End North - 04,Lower Super Output Areas and Data Zones,LSOADZ,1001,943,684,131,21,0,0,107,10,21,0,8,1,4,8,10,10,0,0,0,0,0,17,14,3
S01006575,West End South - 01,Lower Super Output Areas and Data Zones,LSOADZ,951,885,682,104,8,1,16,74,15,38,0,18,4,2,14,9,9,0,1,1,0,0,3,2,1
S01006576,West End South - 02,Lower Super Output Areas and Data Zones,LSOADZ,716,668,498,87,19,0,10,54,2,32,2,20,0,1,9,9,9,0,1,1,0,0,4,2,2
S01006577,West End South - 03,Lower Super Output Areas and Data Zones,LSOADZ,769,705,493,105,16,0,9,82,8,45,3,21,3,5,13,1,1,0,5,0,5,0,5,3,2
S01006578,West End South - 04,Lower Super Output Areas and Data Zones,LSOADZ,1096,982,720,110,17,0,52,83,8,72,2,39,0,18,13,24,23,1,4,3,1,0,6,2,4
S01006579,West End South - 05,Lower Super Output Areas and Data Zones,LSOADZ,964,783,557,87,17,1,38,83,8,113,13,46,4,32,18,45,45,0,5,4,0,1,10,4,6
S01006580,West End South - 06,Lower Super Output Areas and Data Zones,LSOADZ,717,650,471,90,19,0,8,62,8,35,6,21,0,4,4,8,8,0,6,3,1,2,10,8,2
S01006581,West End South - 07,Lower Super Output Areas and Data Zones,LSOADZ,889,861,721,66,8,0,8,58,5,17,5,1,1,2,8,4,4,0,1,1,0,0,1,0,1
S01006582,City Centre West - 01,Lower Super Output Areas and Data Zones,LSOADZ,871,684,489,86,21,0,27,61,5,90,5,50,1,13,21,81,81,0,2,1,0,1,9,4,5
S01006583,City Centre West - 02,Lower Super Output Areas and Data Zones,LSOADZ,712,590,429,68,32,0,19,42,5,63,5,21,14,11,12,47,47,0,3,2,0,1,4,1,3
S01006584,City Centre West - 03,Lower Super Output Areas and Data Zones,LSOADZ,628,551,367,90,15,0,20,59,9,36,1,23,0,8,4,25,25,0,3,0,3,0,4,2,2
S01006585,City Centre West - 04,Lower Super Output Areas and Data Zones,LSOADZ,795,692,541,66,8,1,34,42,5,79,7,29,10,18,15,9,9,0,2,2,0,0,8,7,1
S01006586,City Centre West - 05,Lower Super Output Areas and Data Zones,LSOADZ,1019,882,628,101,37,0,26,90,11,87,12,24,3,23,25,23,23,0,3,1,2,0,13,8,5
S01006587,City Centre East - 01,Lower Super Output Areas and Data Zones,LSOADZ,539,443,286,58,17,1,39,42,6,53,1,21,7,13,11,33,33,0,2,1,1,0,2,2,0
S01006588,City Centre East - 02,Lower Super Output Areas and Data Zones,LSOADZ,587,426,299,46,11,0,30,40,13,41,0,27,0,11,3,85,85,0,10,1,7,2,12,10,2
S01006589,City Centre East - 03,Lower Super Output Areas and Data Zones,LSOADZ,682,587,383,55,16,2,46,85,10,33,1,20,2,10,0,43,43,0,4,1,3,0,5,4,1
S01006590,City Centre East - 04,Lower Super Output Areas and Data Zones,LSOADZ,701,597,411,57,23,1,19,86,15,54,0,16,11,8,19,23,23,0,1,1,0,0,11,10,1
S01006591,Ferryhill North - 01,Lower Super Output Areas and Data Zones,LSOADZ,735,624,451,85,18,1,29,40,12,48,6,24,2,7,9,37,37,0,6,4,0,2,8,2,6
S01006592,Ferryhill North - 02,Lower Super Output Areas and Data Zones,LSOADZ,680,570,427,94,13,0,9,27,11,35,1,13,0,9,12,43,43,0,4,2,1,1,17,13,4
S01006593,Ferryhill North - 03,Lower Super Output Areas and Data Zones,LSOADZ,768,666,488,94,25,0,17,42,5,40,6,14,2,4,14,29,29,0,4,2,0,2,24,18,6
S01006594,Ferryhill North - 04,Lower Super Output Areas and Data Zones,LSOADZ,539,489,409,38,9,1,8,24,0,28,1,11,3,12,1,18,18,0,1,0,1,0,3,1,2
S01006595,Ferryhill North - 05,Lower Super Output Areas and Data Zones,LSOADZ,934,814,608,102,14,0,13,77,7,64,7,25,0,3,29,29,28,1,8,6,0,2,12,4,8
S01006596,Ferryhill North - 06,Lower Super Output Areas and Data Zones,LSOADZ,725,666,453,103,19,1,16,74,14,21,0,5,0,1,15,14,14,0,4,2,0,2,6,1,5
S01006597,Ferryhill North - 07,Lower Super Output Areas and Data Zones,LSOADZ,520,473,350,68,6,0,17,32,6,22,0,16,0,4,2,15,15,0,1,0,0,1,3,2,1
S01006598,Ferryhill South - 01,Lower Super Output Areas and Data Zones,LSOADZ,957,890,668,113,18,0,15,76,9,27,3,5,4,5,10,16,16,0,1,1,0,0,14,12,2
S01006599,Ferryhill South - 02,Lower Super Output Areas and Data Zones,LSOADZ,807,724,601,61,13,1,20,28,13,35,8,12,3,6,6,32,32,0,0,0,0,0,3,2,1
S01006600,Ferryhill South - 03,Lower Super Output Areas and Data Zones,LSOADZ,1100,1022,840,96,11,4,17,54,8,30,1,12,3,7,7,34,34,0,1,1,0,0,5,5,0
S01006601,Ferryhill South - 04,Lower Super Output Areas and Data Zones,LSOADZ,1002,915,769,61,14,1,33,37,4,40,0,12,2,11,15,27,27,0,3,1,1,1,13,9,4
S01006602,Ferryhill South - 05,Lower Super Output Areas and Data Zones,LSOADZ,879,799,638,88,11,1,2,59,16,36,0,14,0,9,13,24,24,0,2,1,1,0,2,2,0
S01006603,"Kincorth; Leggart and Nigg North - 01",Lower Super Output Areas and Data Zones,LSOADZ,849,820,747,25,0,0,36,12,3,16,0,4,5,0,7,2,2,0,1,1,0,0,7,7,0
S01006604,"Kincorth; Leggart and Nigg North - 02",Lower Super Output Areas and Data Zones,LSOADZ,678,651,600,20,4,3,9,15,2,24,10,5,0,7,2,1,1,0,0,0,0,0,0,0,0
S01006605,"Kincorth; Leggart and Nigg North - 03",Lower Super Output Areas and Data Zones,LSOADZ,802,772,709,33,0,0,22,8,2,12,0,2,9,1,0,10,10,0,2,1,1,0,4,0,4
S01006606,"Kincorth; Leggart and Nigg North - 04",Lower Super Output Areas and Data Zones,LSOADZ,831,783,702,52,1,0,13,15,7,20,6,0,0,2,12,12,12,0,0,0,0,0,9,9,0
S01006607,"Kincorth; Leggart and Nigg North - 05",Lower Super Output Areas and Data Zones,LSOADZ,934,911,842,33,3,6,17,10,0,11,1,1,0,4,5,6,6,0,0,0,0,0,6,6,0
S01006608,"Kincorth; Leggart and Nigg South - 01",Lower Super Output Areas and Data Zones,LSOADZ,732,686,606,35,2,2,20,21,6,20,3,7,0,10,0,19,19,0,0,0,0,0,1,1,0
S01006609,"Kincorth; Leggart and Nigg South - 02",Lower Super Output Areas and Data Zones,LSOADZ,1063,1040,957,40,1,0,20,22,5,15,4,2,5,3,1,2,2,0,0,0,0,0,1,1,0
S01006610,"Kincorth; Leggart and Nigg South - 03",Lower Super Output Areas and Data Zones,LSOADZ,449,433,425,1,0,0,5,2,1,2,0,1,0,0,1,12,12,0,0,0,0,0,1,0,1
S01006611,"Kincorth; Leggart and Nigg South - 04",Lower Super Output Areas and Data Zones,LSOADZ,919,872,791,37,8,3,27,6,3,10,0,0,5,2,3,34,34,0,0,0,0,0,0,0,0
S01006612,"Kincorth; Leggart and Nigg South - 05",Lower Super Output Areas and Data Zones,LSOADZ,861,827,766,41,5,0,4,11,0,11,0,4,3,0,4,17,17,0,4,1,3,0,2,0,2
S01006613,Cove South - 01,Lower Super Output Areas and Data Zones,LSOADZ,612,582,533,40,2,0,2,5,1,12,0,0,0,11,1,12,12,0,1,0,1,0,4,4,0
S01006614,Cove South - 02,Lower Super Output Areas and Data Zones,LSOADZ,678,635,576,36,1,0,2,20,4,18,0,6,0,8,4,21,21,0,0,0,0,0,0,0,0
S01006615,Cove South - 03,Lower Super Output Areas and Data Zones,LSOADZ,796,732,669,39,4,0,1,19,2,27,3,13,0,8,3,32,32,0,1,0,1,0,2,2,0
S01006616,Cove South - 04,Lower Super Output Areas and Data Zones,LSOADZ,788,755,698,33,0,1,8,15,4,11,3,7,0,0,1,15,13,2,0,0,0,0,3,1,2
S01006617,Cove South - 05,Lower Super Output Areas and Data Zones,LSOADZ,681,674,636,25,5,0,2,6,2,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
S01006618,Cove South - 06,Lower Super Output Areas and Data Zones,LSOADZ,514,495,464,23,1,0,3,4,0,14,0,10,0,0,4,5,5,0,0,0,0,0,0,0,0
S01006619,Cove North - 01,Lower Super Output Areas and Data Zones,LSOADZ,881,874,771,65,5,7,6,20,1,4,0,1,0,2,1,1,1,0,1,1,0,0,0,0,0
S01006620,Cove North - 02,Lower Super Output Areas and Data Zones,LSOADZ,848,825,761,41,2,0,9,12,0,9,2,1,0,5,1,14,14,0,0,0,0,0,0,0,0
S01006621,Cove North - 03,Lower Super Output Areas and Data Zones,LSOADZ,520,488,449,26,6,0,4,3,1,9,0,0,0,8,1,22,22,0,0,0,0,0,0,0,0
S01006622,Cove North - 04,Lower Super Output Areas and Data Zones,LSOADZ,669,633,570,31,6,0,10,16,3,12,0,7,0,0,5,18,18,0,2,0,2,0,1,1,0
S01006623,Cove North - 05,Lower Super Output Areas and Data Zones,LSOADZ,765,738,643,41,2,0,36,16,2,12,3,7,0,1,1,12,12,0,1,0,1,0,0,0,0
S01006624,Torry West - 01,Lower Super Output Areas and Data Zones,LSOADZ,959,909,685,47,9,3,110,55,8,14,2,6,0,1,5,19,19,0,6,4,2,0,3,1,2
S01006625,Torry West - 02,Lower Super Output Areas and Data Zones,LSOADZ,623,592,493,21,0,2,42,34,2,17,0,2,0,0,15,12,12,0,0,0,0,0,0,0,0
S01006626,Torry West - 03,Lower Super Output Areas and Data Zones,LSOADZ,718,694,587,24,6,1,55,21,0,4,1,0,2,0,1,20,20,0,0,0,0,0,0,0,0
S01006627,Torry West - 04,Lower Super Output Areas and Data Zones,LSOADZ,859,795,517,51,17,0,122,88,2,25,3,14,1,2,5,24,24,0,6,4,1,1,7,6,1
S01006628,Torry West - 05,Lower Super Output Areas and Data Zones,LSOADZ,1097,967,560,65,11,2,236,93,5,47,7,13,1,10,16,64,64,0,2,1,1,0,12,0,12
S01006629,Torry West - 06,Lower Super Output Areas and Data Zones,LSOADZ,803,766,605,33,1,4,67,56,0,25,4,4,7,2,8,4,4,0,5,5,0,0,3,3,0
S01006630,Torry West - 07,Lower Super Output Areas and Data Zones,LSOADZ,627,618,567,14,1,7,18,11,0,2,0,2,0,0,0,7,7,0,0,0,0,0,0,0,0
S01006631,Torry East - 01,Lower Super Output Areas and Data Zones,LSOADZ,933,898,763,57,3,2,42,31,2,14,2,3,0,1,8,13,13,0,4,3,0,1,2,0,2
S01006632,Torry East - 02,Lower Super Output Areas and Data Zones,LSOADZ,812,778,587,34,4,0,103,50,5,7,0,1,0,1,5,20,18,2,1,0,1,0,1,0,1
S01006633,Torry East - 03,Lower Super Output Areas and Data Zones,LSOADZ,699,665,563,24,1,2,56,19,1,25,3,3,5,2,12,1,1,0,3,3,0,0,4,3,1
S01006634,Torry East - 04,Lower Super Output Areas and Data Zones,LSOADZ,634,613,473,24,1,1,87,27,1,12,0,9,1,2,0,3,3,0,4,1,3,0,1,1,0
S01006635,Torry East - 05,Lower Super Output Areas and Data Zones,LSOADZ,658,627,510,22,3,0,54,38,7,6,0,3,2,0,1,18,18,0,0,0,0,0,0,0,0
S01006636,Torry East - 06,Lower Super Output Areas and Data Zones,LSOADZ,870,833,670,30,2,2,88,41,11,8,4,1,0,1,2,15,15,0,2,1,1,0,1,0,1
S01006637,Hanover South - 01,Lower Super Output Areas and Data Zones,LSOADZ,753,675,481,92,9,0,46,47,8,41,9,18,1,10,3,20,20,0,6,3,3,0,3,3,0
S01006638,Hanover South - 02,Lower Super Output Areas and Data Zones,LSOADZ,834,708,518,108,6,0,17,59,3,86,6,43,3,22,12,25,25,0,6,4,2,0,6,5,1
S01006639,Hanover South - 03,Lower Super Output Areas and Data Zones,LSOADZ,945,849,613,90,21,1,51,73,8,59,8,19,1,22,9,23,22,1,1,0,1,0,5,1,4
S01006640,Hanover South - 04,Lower Super Output Areas and Data Zones,LSOADZ,723,584,391,94,25,0,25,49,6,80,7,18,7,35,13,36,36,0,2,1,0,1,15,6,9
S01006641,Hanover North - 01,Lower Super Output Areas and Data Zones,LSOADZ,1042,871,649,98,14,1,33,76,14,56,4,25,2,8,17,76,76,0,3,1,2,0,22,16,6
S01006642,Hanover North - 02,Lower Super Output Areas and Data Zones,LSOADZ,1373,1136,739,191,54,2,25,125,24,125,10,32,6,59,18,77,77,0,2,1,1,0,9,7,2
S01006643,Hanover North - 03,Lower Super Output Areas and Data Zones,LSOADZ,730,629,434,99,28,1,20,47,5,61,13,17,3,16,12,23,23,0,1,0,1,0,11,5,6
S01006644,Hanover North - 04,Lower Super Output Areas and Data Zones,LSOADZ,963,831,620,105,14,2,31,59,5,65,14,26,1,14,10,36,36,0,7,0,6,1,19,16,3
S01006645,George Street - 01,Lower Super Output Areas and Data Zones,LSOADZ,687,612,480,37,5,0,63,27,7,27,1,9,0,10,7,30,30,0,3,2,0,1,8,8,0
